UNITID,BallID,Copl,Height,Warpage,Width
784F59S603770,A3,-124.47,299.15,-119.74,494.15
784F59S603770,A4,-122.39,299.07,-117.92,497.3
784F59S603770,A5,-117.98,298.28,-115.31,495.63
784F59S603770,A6,-117.34,301.25,-111.79,496.24
784F59S603770,A8,-113.1,299.52,-107.78,493.51
784F59S603770,A11,-106.55,297.77,-104.62,495.16
784F59S603770,A12,-107.25,300,-102.8,492.85
784F59S603770,A14,-101.91,293.88,-101.52,490.17
784F59S603770,A15,-103.14,301.38,-100.32,496.39
784F59S603770,A17,-99.93,296.32,-99.53,495.35
784F59S603770,A18,-101.56,300.65,-99,499.62
784F59S603770,A20,-101.64,298.72,-99.65,496.33
784F59S603770,A22,-108.1,302.06,-102.15,502.05
784F59S603770,A24,-111.65,303.45,-106.17,500.28
784F59S603770,A26,-113.61,301.85,-109.48,501.15
784F59S603770,A28,-118.51,302.39,-114.69,499.75
784F59S603770,A30,-124.56,305.59,-120.89,498.94
784F59S603770,A32,-127.62,298.06,-127.92,494.42
784F59S603770,A34,-135.79,300.23,-134.06,496.11
784F59S603770,A35,-139.86,301.83,-136.48,500.98
784F59S603770,A36,-139.55,300.39,-138.76,492.83
784F59S603770,AA1,20.3,297.24,23.09,505.58
784F59S603770,AA2,22.07,296.56,24.87,510.75
784F59S603770,AA3,24.18,297.4,27.22,520.78
784F59S603770,AA4,26.96,299.27,30.66,514.23
784F59S603770,AA9,45.34,290.54,39.48,497.45
784F59S603770,AA24,47.17,299.03,45.56,490.92
784F59S603770,AA26,42.91,297.27,41.05,492.85
784F59S603770,AA34,5.22,303.5,9.98,533.3
784F59S603770,AA35,0.51,305.87,5.55,538.14
784F59S603770,AA36,-2.45,303.13,0.38,537.03
784F59S603770,AA37,-9.41,305.08,-4.95,528.81
784F59S603770,AB2,27.76,298,30.44,509.59
784F59S603770,AB3,33.93,294.48,32.9,516.3
784F59S603770,AB4,35.64,297.54,37.53,514.57
784F59S603770,AB5,35.27,297.78,36.69,514.79
784F59S603770,AB6,37.87,298.41,38.96,497.23
784F59S603770,AB7,41.43,298.61,41.46,494.56
784F59S603770,AB8,47.59,291.87,42.58,503.38
784F59S603770,AB9,55.01,291.83,50.23,495.21
784F59S603770,AB10,48.75,296.32,48.01,483.21
784F59S603770,AB25,47.55,299.68,48.79,493.02
784F59S603770,AB27,49.22,296.07,44.41,494.19
784F59S603770,AB28,45.09,301.06,41.74,504.56
784F59S603770,AB29,34.5,304.1,38.89,535.16
784F59S603770,AB30,33.98,299.99,34.55,534.36
784F59S603770,AB31,28.86,302.53,30.97,531.72
784F59S603770,AB32,21.58,303.8,26.77,531.82
784F59S603770,AB33,17.45,304.21,21.42,537.4
784F59S603770,AB34,11.07,302.92,14.31,542.93
784F59S603770,AB35,7.16,303.81,9.44,544.55
784F59S603770,AB36,-1.67,306.62,4.4,538.75
784F59S603770,AC1,32.36,297.43,35.56,509.47
784F59S603770,AC2,35.09,296.28,35.87,522.77
784F59S603770,AC3,41.8,292.76,38.99,522.19
784F59S603770,AC4,42.51,296.72,43.25,525.92
784F59S603770,AC5,45.01,295.61,45.04,518.58
